File,NEF,TIFF,Date Created,Date Modified,File Size,Image Size,Date Shot,Time Zone and Date,Image Quality,Artist,Copyright,Image Comment,Device,Lens,Focal Length,Focus Mode,AF-Area Mode,VR,AF Fine Tune,Aperture,Shutter Speed,Exposure Mode,Exposure Comp.,Exposure Tuning,Metering,ISO Sensitivity,Flash Device,Flash Sync Mode,Flash Mode,White Balance,Color Space,High ISO NR,Long Exposure NR,Active D-Lighting,Image Authentication,Vignette Control,Auto Distortion Control,Picture Control,Base,Quick Adjust,Sharpening,Contrast,Brightness,Saturation,Hue,Filter Effects,Toning,Optimize Image,Color Mode,Tone Comp.,Hue Adjustment,Saturation.1,Sharpening.1,Latitude,Longitude,Altitude,Altitude Reference,Heading,UTC,Map Datum,Scene Mode,Keywords
r5a671b67t,http://193.205.194.113/RAISE/NEF/r5a671b67t.NEF,http://193.205.194.113/RAISE/TIFF/r5a671b67t.TIF,9/20/2014 15:57,4/7/2012 8:39,10.5 MB,L (4288 x 2848),39:22.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,AF-A,Auto,ON,,f/16,1/100s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
rdb736502t,http://193.205.194.113/RAISE/NEF/rdb736502t.NEF,http://193.205.194.113/RAISE/TIFF/rdb736502t.TIF,9/20/2014 15:58,4/7/2012 8:42,9.54 MB,L (4288 x 2848),42:32.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,AF-A,Auto,ON,,f/16,1/60s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
r56d61c92t,http://193.205.194.113/RAISE/NEF/r56d61c92t.NEF,http://193.205.194.113/RAISE/TIFF/r56d61c92t.TIF,9/20/2014 15:58,4/7/2012 8:42,9.38 MB,L (4288 x 2848),42:58.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,90mm,AF-A,Auto,ON,,f/16,1/25s,Aperture Priority,+1.7EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
r66327327t,http://193.205.194.113/RAISE/NEF/r66327327t.NEF,http://193.205.194.113/RAISE/TIFF/r66327327t.TIF,9/20/2014 15:58,4/7/2012 8:43,9.84 MB,L (4288 x 2848),43:16.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,90mm,Manual,Single,ON,,f/16,1/60s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
r64b46b1et,http://193.205.194.113/RAISE/NEF/r64b46b1et.NEF,http://193.205.194.113/RAISE/TIFF/r64b46b1et.TIF,9/20/2014 15:58,4/7/2012 8:43,9.69 MB,L (4288 x 2848),43:26.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,Manual,Single,ON,,f/16,1/25s,Aperture Priority,+1.7EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
rca0a29eft,http://193.205.194.113/RAISE/NEF/rca0a29eft.NEF,http://193.205.194.113/RAISE/TIFF/rca0a29eft.TIF,9/20/2014 15:59,4/7/2012 8:44,10.2 MB,L (4288 x 2848),44:10.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,Manual,Single,ON,,f/16,1/40s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
r4091b09ct,http://193.205.194.113/RAISE/NEF/r4091b09ct.NEF,http://193.205.194.113/RAISE/TIFF/r4091b09ct.TIF,9/20/2014 15:59,4/7/2012 8:44,9.46 MB,L (4288 x 2848),44:47.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,Manual,Single,ON,,f/16,1/20s,Aperture Priority,+1.7EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
raaebdc82t,http://193.205.194.113/RAISE/NEF/raaebdc82t.NEF,http://193.205.194.113/RAISE/TIFF/raaebdc82t.TIF,9/20/2014 16:34,8/11/2012 8:37,17.8 MB,L (4928 x 3264),37:12.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/18,1/100s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r8500c118t,http://193.205.194.113/RAISE/NEF/r8500c118t.NEF,http://193.205.194.113/RAISE/TIFF/r8500c118t.TIF,9/20/2014 18:11,8/23/2012 10:27,18.0 MB,L (4928 x 3264),27:48.7,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/16,1/80s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
rd169bc43t,http://193.205.194.113/RAISE/NEF/rd169bc43t.NEF,http://193.205.194.113/RAISE/TIFF/rd169bc43t.TIF,9/20/2014 18:11,8/23/2012 10:27,18.2 MB,L (4928 x 3264),27:52.9,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/16,1/60s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
r069e346et,http://193.205.194.113/RAISE/NEF/r069e346et.NEF,http://193.205.194.113/RAISE/TIFF/r069e346et.TIF,9/20/2014 18:11,8/23/2012 10:28,18.9 MB,L (4928 x 3264),28:02.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/10,1/125s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
r3bacc1d2t,http://193.205.194.113/RAISE/NEF/r3bacc1d2t.NEF,http://193.205.194.113/RAISE/TIFF/r3bacc1d2t.TIF,9/20/2014 18:11,8/23/2012 10:28,19.4 MB,L (4928 x 3264),28:15.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/10,1/125s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
r39436d87t,http://193.205.194.113/RAISE/NEF/r39436d87t.NEF,http://193.205.194.113/RAISE/TIFF/r39436d87t.TIF,9/20/2014 18:11,8/23/2012 10:28,20.7 MB,L (4928 x 3264),28:46.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/13,1/125s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
r95b08e31t,http://193.205.194.113/RAISE/NEF/r95b08e31t.NEF,http://193.205.194.113/RAISE/TIFF/r95b08e31t.TIF,9/20/2014 18:11,8/23/2012 10:29,17.8 MB,L (4928 x 3264),29:53.9,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/14,1/125s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,0,1,,,,,,,,,,,,,,,,,nature; outdoor
r885079b8t,http://193.205.194.113/RAISE/NEF/r885079b8t.NEF,http://193.205.194.113/RAISE/TIFF/r885079b8t.TIF,9/20/2014 18:27,8/7/2012 7:17,18.7 MB,L (4928 x 3264),17:30.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/13,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
rad5b5878t,http://193.205.194.113/RAISE/NEF/rad5b5878t.NEF,http://193.205.194.113/RAISE/TIFF/rad5b5878t.TIF,9/20/2014 18:28,8/7/2012 7:20,17.2 MB,L (4928 x 3264),20:26.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/22,1/125s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r4359075bt,http://193.205.194.113/RAISE/NEF/r4359075bt.NEF,http://193.205.194.113/RAISE/TIFF/r4359075bt.TIF,9/20/2014 18:28,8/7/2012 7:21,17.6 MB,L (4928 x 3264),21:38.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/25,1/80s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r65b20842t,http://193.205.194.113/RAISE/NEF/r65b20842t.NEF,http://193.205.194.113/RAISE/TIFF/r65b20842t.TIF,9/20/2014 18:28,8/7/2012 7:21,17.1 MB,L (4928 x 3264),21:54.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/25,1/80s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r8abcf61dt,http://193.205.194.113/RAISE/NEF/r8abcf61dt.NEF,http://193.205.194.113/RAISE/TIFF/r8abcf61dt.TIF,9/20/2014 18:29,8/7/2012 7:30,17.3 MB,L (4928 x 3264),30:15.0,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/13,1/60s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r0c5e9567t,http://193.205.194.113/RAISE/NEF/r0c5e9567t.NEF,http://193.205.194.113/RAISE/TIFF/r0c5e9567t.TIF,9/20/2014 19:07,8/7/2012 13:43,18.5 MB,L (4928 x 3264),43:29.5,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,112mm,AF-A,Auto,ON,OFF,f/10,1/500s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, B3, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,1,0,,,,,,,,,,,,,,,,,nature; outdoor
r8578eafdt,http://193.205.194.113/RAISE/NEF/r8578eafdt.NEF,http://193.205.194.113/RAISE/TIFF/r8578eafdt.TIF,9/20/2014 19:07,8/7/2012 14:10,19.6 MB,L (4928 x 3264),10:18.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,50mm,AF-A,Auto,ON,OFF,f/9,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, B3, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,1,0,,,,,,,,,,,,,,,,,nature; outdoor
r179ec4e8t,http://193.205.194.113/RAISE/NEF/r179ec4e8t.NEF,http://193.205.194.113/RAISE/TIFF/r179ec4e8t.TIF,9/20/2014 19:07,8/7/2012 14:10,19.8 MB,L (4928 x 3264),10:42.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,20mm,AF-A,Auto,ON,OFF,f/9,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, B3, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,8,0,0,1,0,,,,,,,,,,,,,,,,,nature; outdoor
rc5c4bbd3t,http://193.205.194.113/RAISE/NEF/rc5c4bbd3t.NEF,http://193.205.194.113/RAISE/TIFF/rc5c4bbd3t.TIF,9/20/2014 19:46,8/13/2012 11:39,18.6 MB,L (4928 x 3264),39:14.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,105mm,AF-A,Auto,ON,OFF,f/9,1/250s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r209f6d4at,http://193.205.194.113/RAISE/NEF/r209f6d4at.NEF,http://193.205.194.113/RAISE/TIFF/r209f6d4at.TIF,9/20/2014 19:46,8/13/2012 11:42,18.2 MB,L (4928 x 3264),42:11.0,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,48mm,AF-A,Auto,ON,OFF,f/13,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r9c8bd24et,http://193.205.194.113/RAISE/NEF/r9c8bd24et.NEF,http://193.205.194.113/RAISE/TIFF/r9c8bd24et.TIF,9/20/2014 19:46,8/13/2012 11:42,17.6 MB,L (4928 x 3264),42:30.7,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/14,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
rbfb29a75t,http://193.205.194.113/RAISE/NEF/rbfb29a75t.NEF,http://193.205.194.113/RAISE/TIFF/rbfb29a75t.TIF,9/20/2014 19:47,8/13/2012 11:52,18.7 MB,L (4928 x 3264),52:07.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/18,1/125s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r5c782fcft,http://193.205.194.113/RAISE/NEF/r5c782fcft.NEF,http://193.205.194.113/RAISE/TIFF/r5c782fcft.TIF,9/20/2014 19:47,8/13/2012 12:00,19.2 MB,L (4928 x 3264),00:07.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,95mm,AF-A,Auto,ON,OFF,f/14,1/200s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
re5569a15t,http://193.205.194.113/RAISE/NEF/re5569a15t.NEF,http://193.205.194.113/RAISE/TIFF/re5569a15t.TIF,9/20/2014 19:47,8/13/2012 12:00,18.9 MB,L (4928 x 3264),00:34.1,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,105mm,AF-A,Auto,ON,OFF,f/14,1/200s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r4e051620t,http://193.205.194.113/RAISE/NEF/r4e051620t.NEF,http://193.205.194.113/RAISE/TIFF/r4e051620t.TIF,9/20/2014 19:47,8/13/2012 12:00,18.1 MB,L (4928 x 3264),00:56.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/11,1/160s,Manual,0EV,,Spot,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,7,-1,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
